experiment_group,artifact_dir,runner,rows,status,batch_wall_time_seconds,case_elapsed_seconds_sum,case_elapsed_seconds_mean,case_elapsed_seconds_median,case_elapsed_seconds_max,throughput_cases_per_minute,note
fn_escalation_guardrail_deterministic_8,committee_review_fn_escalation_guardrail_deterministic_8,deterministic,8,completed,1.4459,4.2642,0.5330,0.1119,1.2639,331.9732,Tightened TN overhold guardrail after OpenAI Agno rerun surfaced missed FN cases
fn_escalation_openai_agno_rerun_8,committee_review_fn_escalation_agno_openai_live_8,agno_openai_cached,8,completed_cached_replay,1.5040,3.0061,0.3758,0.0762,1.2763,319.1489,OpenAI Agno path rerun after guardrail tightening likely reused cached LLM or evidence responses; not representative live latency
isolated_icr_tn_guardrail_deterministic_8,committee_review_isolated_icr_guardrail_deterministic_8,deterministic,8,completed,1.8684,3.7330,0.4666,0.0873,1.6091,256.9043,Local deterministic rerun after isolated interest-coverage guardrail; no external API latency
openai_single_3agent_no_cache_live_8,committee_review_openai_single_3agent_no_cache_live_8,agno_openai_single_3agent,8,completed_no_cache_live,67.6725,134.7653,16.8457,17.6600,19.8717,7.0930,OpenAI single provider 3-agent live no-cache plus external evidence cache hits 0 role timings present 8 of 8
tn_overhold_expanded_30_before_liquidity_buffer,committee_review_tn_overhold_expanded_30_deterministic,deterministic,30,completed,2.6217,10.3290,0.3443,0.1511,1.6300,686.5774,Expanded TN overhold analysis before cashflow-backed current-ratio liquidity buffer
tn_overhold_expanded_30_after_liquidity_buffer,committee_review_tn_overhold_expanded_30_after_liquidity_buffer,deterministic,30,completed,2.5362,9.9960,0.3332,0.1472,1.5784,709.7232,Expanded TN overhold analysis after narrow liquidity buffer
tn_overhold_expanded_8_openai_agno_live_no_cache,committee_review_tn_overhold_expanded_8_agno_openai_live_no_cache,agno_openai_single_3agent,8,completed_no_cache_live,87.9967,163.2415,20.4052,18.8773,28.0104,5.4548,OpenAI single provider 3-agent live no-cache on expanded TN subset with live external evidence and cache hits 0
tn_overhold_expanded_8_after_financing_guardrail_cached_evidence,committee_review_tn_overhold_expanded_8_after_financing_guardrail_cached_evidence,deterministic_cached_evidence,8,completed_cached_evidence,1.7129,6.8447,0.8556,0.8554,1.5637,280.2265,Deterministic committee replay with cached external evidence after financing-materiality guardrail
tn_overhold_expanded_8_after_financing_guardrail_openai_agno_live_no_cache,committee_review_tn_overhold_expanded_8_after_financing_guardrail_agno_openai_live_no_cache,agno_openai_single_3agent,8,completed_no_cache_live,95.4372,178.7444,22.3430,20.0757,40.6244,5.0295,OpenAI single provider 3-agent live no-cache after financing-materiality guardrail with stage2 cache hits 0
tn_overhold_expanded_8_after_spac_guardrail_cached_evidence,committee_review_tn_overhold_expanded_8_after_spac_guardrail_cached_evidence,deterministic_cached_evidence,8,completed_cached_evidence,1.6835,6.7148,0.8394,0.8401,1.5378,285.1203,Deterministic committee replay with cached external evidence after resolved SPAC merger halt guardrail
mixed_hard_20_disagreement_trigger_gated_openai_agno_live_no_cache,committee_review_disagreement_trigger_gated_20_agno_openai_live_no_cache,agno_openai_single_3agent,20,completed_no_cache_live,460.6873,460.6810,23.0341,20.2584,46.2454,2.6048,Disagreement-gated ReviewQA live no-cache; OpenAI timeout logs occurred but no failed rows remained and ReviewQA 5/20 with cache hit 0
mixed_hard_20_disagreement_trigger_gated_v2_openai_agno_live_no_cache,committee_review_disagreement_trigger_gated_v2_20_agno_openai_live_no_cache,agno_openai_single_3agent,20,completed_no_cache_live,376.3633,376.3573,18.8179,16.1981,31.5616,3.1884,Disagreement-gated ReviewQA v2 live no-cache; ReviewQA 3/20 versus v1 5/20; stage2 mean 18.7126s and cache hit 0
mixed_hard_40_disagreement_trigger_gated_v2_openai_agno_live_no_cache,committee_review_disagreement_trigger_gated_v2_40_agno_openai_live_no_cache,agno_openai_single_3agent,40,completed_no_cache_live,729.5342,729.5249,18.2381,16.7357,34.1277,3.2898,Disagreement-gated ReviewQA v2 full 40 live no-cache; ReviewQA 5/40 and stage2 mean 17.5488s with cache hit 0
after_pr53_role_split_10_openai_agno_live_no_cache,committee_review_after_pr53_role_split_10_agno_openai_live_no_cache,agno_openai_single_3agent,10,completed_no_cache_live,90.0239,167.0701,16.7070,15.3905,23.5490,6.6649,Selective PR53 role-split prompt smoke; stage2 mean 16.4039s max 22.2847s cache hit 0 ReviewQA 2/10
evidence_criticality_gate_tn10_openai_agno_live_no_cache,committee_review_evidence_criticality_gate_tn10_agno_openai_live_no_cache,agno_openai_single_3agent,10,completed_no_cache_live,136.9049,258.4069,25.8407,21.5183,43.7535,4.3826,EvidenceAudit criticality hard gate TN smoke; stage2 mean 24.3308s max 42.3019s cache hit 0 RiskRecallQA 4/10
